Author,Comment,CaseFolding,tokenized_comment,Remove_TandaBaca,Remove_SpasiTab,Normalisasi,Remove_StopWords_Final,Stemming,Cleaned_Text,Sentiment
@NadiaOmaraa,"Hai wak! Untuk 2 minggu kedepan aku bakal upload #KisahHorrorWawak dulu yaa… email KHW udah masuk sampai 15ribuuu🥹🥹 kasian numpuk terus.. bonus deh minggu ini jadi 4 video oke. #nanadberbaikhati ❤️ 
Selamat menonton!","hai wak untuk  minggu kedepan aku bakal upload kisahhorrorwawak dulu yaa email khw udah masuk sampai ribuuu kasian numpuk terus bonus deh minggu ini jadi  video oke nanadberbaikhati  
selamat menonton","['hai', 'wak', 'untuk', 'minggu', 'kedepan', 'aku', 'bakal', 'upload', 'kisahhorrorwawak', 'dulu', 'yaa', 'email', 'khw', 'udah', 'masuk', 'sampai', 'ribuuu', 'kasian', 'numpuk', 'terus', 'bonus', 'deh', 'minggu', 'ini', 'jadi', 'video', 'oke', 'nanadberbaikhati', 'selamat', 'menonton']","['hai', 'wak', 'untuk', 'minggu', 'kedepan', 'aku', 'bakal', 'upload', 'kisahhorrorwawak', 'dulu', 'yaa', 'email', 'khw', 'udah', 'masuk', 'sampai', 'ribuuu', 'kasian', 'numpuk', 'terus', 'bonus', 'deh', 'minggu', 'ini', 'jadi', 'video', 'oke', 'nanadberbaikhati', 'selamat', 'menonton']","['hai', 'wak', 'untuk', 'minggu', 'kedepan', 'aku', 'bakal', 'upload', 'kisahhorrorwawak', 'dulu', 'yaa', 'email', 'khw', 'udah', 'masuk', 'sampai', 'ribuuu', 'kasian', 'numpuk', 'terus', 'bonus', 'deh', 'minggu', 'ini', 'jadi', 'video', 'oke', 'nanadberbaikhati', 'selamat', 'menonton']","['hai', 'wak', 'untuk', 'minggu', 'kedepan', 'aku', 'bakal', 'upload', 'kisah horror wawak', 'dulu', 'email', 'sudah', 'masuk', 'sampai', 'ribuuu', 'kasian', 'numpuk', 'terus', 'bonus', 'deh', 'minggu', 'ini', 'jadi', 'video', 'oke', 'nanadberbaikhati', 'selamat', 'menonton']","['minggu', 'kedepan', 'upload', 'kisah horror wawak', 'email', 'masuk', 'ribuuu', 'kasian', 'numpuk', 'bonus', 'minggu', 'video', 'nanadberbaikhati', 'selamat', 'menonton']","['minggu', 'depan', 'upload', 'kisah horror wawak', 'email', 'masuk', 'ribuuu', 'kasi', 'numpuk', 'bonus', 'minggu', 'video', 'nanadberbaikhati', 'selamat', 'tonton']",minggu depan upload kisah horror wawak email masuk ribuuu kasi numpuk bonus minggu video nanadberbaikhati selamat tonton,Negatif
@zakiasz5556,ya kalo udah ngajak tidur ya pasti asli wujudnya genderewewooww ciri khasnya ya begitu. dan tabiatnya begitu.. lahaula .. yaa Allah lindungi lah kami,ya kalo udah ngajak tidur ya pasti asli wujudnya genderewewooww ciri khasnya ya begitu dan tabiatnya begitu lahaula  yaa allah lindungi lah kami,"['ya', 'kalo', 'udah', 'ngajak', 'tidur', 'ya', 'pasti', 'asli', 'wujudnya', 'genderewewooww', 'ciri', 'khasnya', 'ya', 'begitu', 'dan', 'tabiatnya', 'begitu', 'lahaula', 'yaa', 'allah', 'lindungi', 'lah', 'kami']","['ya', 'kalo', 'udah', 'ngajak', 'tidur', 'ya', 'pasti', 'asli', 'wujudnya', 'genderewewooww', 'ciri', 'khasnya', 'ya', 'begitu', 'dan', 'tabiatnya', 'begitu', 'lahaula', 'yaa', 'allah', 'lindungi', 'lah', 'kami']","['ya', 'kalo', 'udah', 'ngajak', 'tidur', 'ya', 'pasti', 'asli', 'wujudnya', 'genderewewooww', 'ciri', 'khasnya', 'ya', 'begitu', 'dan', 'tabiatnya', 'begitu', 'lahaula', 'yaa', 'allah', 'lindungi', 'lah', 'kami']","['kalo', 'sudah', 'ngajak', 'tidur', 'pasti', 'asli', 'wujudnya', 'genderuwo', 'ciri', 'khasnya', 'begitu', 'dan', 'tabiatnya', 'begitu', 'lahaula', 'allah', 'lindungi', 'lah', 'kami']","['kalo', 'ngajak', 'tidur', 'asli', 'wujudnya', 'genderuwo', 'ciri', 'khasnya', 'tabiatnya', 'lahaula', 'allah', 'lindungi']","['kalo', 'ngajak', 'tidur', 'asli', 'wujud', 'genderuwo', 'ciri', 'khas', 'tabiat', 'lahaula', 'allah', 'lindung']",kalo ngajak tidur asli wujud genderuwo ciri khas tabiat lahaula allah lindung,Netral
@aliarohali8163,TIDAK ADA PART 2 NYA KAH ?? SERUUU😭,tidak ada part  nya kah  seruuu,"['tidak', 'ada', 'part', 'nya', 'kah', 'seruuu']","['tidak', 'ada', 'part', 'nya', 'kah', 'seruuu']","['tidak', 'ada', 'part', 'nya', 'kah', 'seruuu']","['tidak', 'ada', 'bagian', 'nya', 'kah', 'seru']",['seru'],['seru'],seru,Netral
@ElsaNuraeni-k9z,Adakah Yg nnton kembali Khw Teeerrrrrr Epic  Part ini d oct 2025?? Angkat tangan Guys ❤,adakah yg nnton kembali khw teeerrrrrr epic  part ini d oct  angkat tangan guys ,"['adakah', 'yg', 'nnton', 'kembali', 'khw', 'teeerrrrrr', 'epic', 'part', 'ini', 'd', 'oct', 'angkat', 'tangan', 'guys']","['adakah', 'yg', 'nnton', 'kembali', 'khw', 'teeerrrrrr', 'epic', 'part', 'ini', 'd', 'oct', 'angkat', 'tangan', 'guys']","['adakah', 'yg', 'nnton', 'kembali', 'khw', 'teeerrrrrr', 'epic', 'part', 'ini', 'd', 'oct', 'angkat', 'tangan', 'guys']","['adakah', 'yang', 'nonton', 'kembali', 'seru', 'bagian', 'ini', 'di', 'oct', 'angkat', 'tangan', 'teman-teman']","['adakah', 'nonton', 'seru', 'oct', 'angkat', 'tangan', 'teman-teman']","['ada', 'nonton', 'seru', 'oct', 'angkat', 'tangan', 'teman']",ada nonton seru oct angkat tangan teman,Netral
@sarahagudjir7305,Anak kembar itu nyata aa tidak yaaa🤔🤔,anak kembar itu nyata aa tidak yaaa,"['anak', 'kembar', 'itu', 'nyata', 'aa', 'tidak', 'yaaa']","['anak', 'kembar', 'itu', 'nyata', 'aa', 'tidak', 'yaaa']","['anak', 'kembar', 'itu', 'nyata', 'aa', 'tidak', 'yaaa']","['anak', 'kembar', 'itu', 'nyata', 'tidak']","['anak', 'kembar', 'nyata']","['anak', 'kembar', 'nyata']",anak kembar nyata,Netral
@SarminahMinah-s7l,Merinding terus pas di sken tiara di bwa itu aku denger nya merinding bulu kudu ku naik terus...,merinding terus pas di sken tiara di bwa itu aku denger nya merinding bulu kudu ku naik terus,"['merinding', 'terus', 'pas', 'di', 'sken', 'tiara', 'di', 'bwa', 'itu', 'aku', 'denger', 'nya', 'merinding', 'bulu', 'kudu', 'ku', 'naik', 'terus']","['merinding', 'terus', 'pas', 'di', 'sken', 'tiara', 'di', 'bwa', 'itu', 'aku', 'denger', 'nya', 'merinding', 'bulu', 'kudu', 'ku', 'naik', 'terus']","['merinding', 'terus', 'pas', 'di', 'sken', 'tiara', 'di', 'bwa', 'itu', 'aku', 'denger', 'nya', 'merinding', 'bulu', 'kudu', 'ku', 'naik', 'terus']","['merinding', 'terus', 'pas', 'di', 'sin', 'tiara', 'di', 'bawa', 'itu', 'aku', 'denger', 'nya', 'merinding', 'bulu', 'kudu', 'ku', 'naik', 'terus']","['merinding', 'pas', 'sin', 'bawa', 'denger', 'merinding', 'bulu', 'kudu']","['merinding', 'pas', 'sin', 'bawa', 'denger', 'merinding', 'bulu', 'kudu']",merinding pas sin bawa denger merinding bulu kudu,Negatif
@lilylyrics_40,siapa yang nonton ulang☝🏻,siapa yang nonton ulang,"['siapa', 'yang', 'nonton', 'ulang']","['siapa', 'yang', 'nonton', 'ulang']","['siapa', 'yang', 'nonton', 'ulang']","['siapa', 'yang', 'nonton', 'ulang']","['nonton', 'ulang']","['nonton', 'ulang']",nonton ulang,Netral
@JuniSetiawati-v2b,Jin satu ini jatuh cinta ajah ga brni nyentuh lahhh manusia?,jin satu ini jatuh cinta ajah ga brni nyentuh lahhh manusia,"['jin', 'satu', 'ini', 'jatuh', 'cinta', 'ajah', 'ga', 'brni', 'nyentuh', 'lahhh', 'manusia']","['jin', 'satu', 'ini', 'jatuh', 'cinta', 'ajah', 'ga', 'brni', 'nyentuh', 'lahhh', 'manusia']","['jin', 'satu', 'ini', 'jatuh', 'cinta', 'ajah', 'ga', 'brni', 'nyentuh', 'lahhh', 'manusia']","['jin', 'satu', 'ini', 'jatuh', 'cinta', 'tidak', 'berani', 'nyentuh', 'manusia']","['jin', 'jatuh', 'cinta', 'berani', 'nyentuh', 'manusia']","['jin', 'jatuh', 'cinta', 'berani', 'nyentuh', 'manusia']",jin jatuh cinta berani nyentuh manusia,Netral
@RinaSulistianingsih-m6v,😂 sampe udh brp x nnton cerita ini gmn ya nasib tiara skrang penasaran bngt, sampe udh brp x nnton cerita ini gmn ya nasib tiara skrang penasaran bngt,"['sampe', 'udh', 'brp', 'x', 'nnton', 'cerita', 'ini', 'gmn', 'ya', 'nasib', 'tiara', 'skrang', 'penasaran', 'bngt']","['sampe', 'udh', 'brp', 'x', 'nnton', 'cerita', 'ini', 'gmn', 'ya', 'nasib', 'tiara', 'skrang', 'penasaran', 'bngt']","['sampe', 'udh', 'brp', 'x', 'nnton', 'cerita', 'ini', 'gmn', 'ya', 'nasib', 'tiara', 'skrang', 'penasaran', 'bngt']","['sampe', 'sudah', 'berapa', 'x', 'nonton', 'cerita', 'ini', 'bagaimana', 'nasib', 'tiara', 'sekarang', 'penasaran', 'banget']","['sampe', 'nonton', 'cerita', 'nasib', 'penasaran', 'banget']","['sampe', 'nonton', 'cerita', 'nasib', 'penasaran', 'banget']",sampe nonton cerita nasib penasaran banget,Netral
@rismaaulia8780,Nonton ini di 2025 👋🏻,nonton ini di  ,"['nonton', 'ini', 'di']","['nonton', 'ini', 'di']","['nonton', 'ini', 'di']","['nonton', 'ini', 'di']",['nonton'],['nonton'],nonton,Netral
