Cleaned_Text;Label
cerita kalo dijadiin wattpad novel film seru banget njirr bayang dunia fantasi gimana;positive
keren banget mimpi;positive
bahagia sedih tiara;positive
nonton ceritanya kak tiara seru banget mana cerita kak kalo boleh tau;positive
banyak cerita suka cerita;positive
kali nonton kali merinding;positive
ampun cerita serasa nyata nyata tiara nadia cerita dg menghayati;positive
suka banget nadia cerita dalam;positive
jatuh cinta orang mimpi;positive
seruuu;positive
merinding pas sin tiara bawa denger merinding bulu kudu ku;positive
nonton ulang;positive
sampe x nonton cerita gmn nasib tiara skrang penasaran banget;positive
seru banget cerita kyak mmpi ku sbanyak it;positive
penasaran wajah anak kembar lumayan mbak kalo pangeran ganteng anak ganteng;positive
takut banget anak butuh donor darah gasama ayah;positive
cerita tarik seru banget omaygattt lopee;positive
cinta fiksi suka banget tolong jiwa menghalu ku merontaronta;positive
pesona laki mimpi ulang ulang kali;positive
merinding kali wakk;positive
bagus cerita kakak film;positive
baca manhwa raja denger wow ngebayangin duara cowonya pas manggil permaisuri ku aaa;positive
plot twist banget ngeri seru duga akhirnya;positive
seru cerita btw x rewacth eps gabut kalo tonton;positive
bagus kak;positive
dunia fantasi pls cerita seru rem kalo jin;positive
anda posisi cinta tulus;positive
lelaki mimpi jalang baik tiara ruqyah;positive
cerita cinta beda alam suka banget;positive
episode suka banget;positive
lihat vidio fb penasaran kesini kakak harap season kak;positive
enak mimpi;positive
cerita bagus kak sumpah;positive
penasaran ganteng anak kembar tiara;positive
penasaran anak;positive
lihat kali sumpa kepo banget cerita gimana kabar anak kembar lihat;positive
gegara gabisa tidur sampe laah cerita ku kalo suami kakak tiara kasih mimpi sikap dewasa langsung tindak contoh sikap dewasa tindak anggap remeh cerita kakak tiara langsung cari solusi curiga tuduh selingkuh buat kasi kakak tiara erti bantu wajar pesan suami kakak tiara kalo dengar kisah ngeh kalo kisah istri mu tolong bantu perhati kakak tiara kakak tiara kayak kakak kau lepas hubung ku wajar kaaa tahu kaa laki kau lihat tampan asli jin doa moga kau sehat cepat lepas hubung mesti kau jalan kaaa;positive
penasaran  mas mimpi mimpi anak normal;positive
kya cerita romance yagua suka;positive
nonton seru cerita;positive
sii cerita eps epik kakk bingung mimpi nyata nyata tau mimpipusing gw;positive
cerita tarik;positive
aaaaaa ken bawa pangeran;positive
leleh air mata;positive
gimana kakak nad asa reaksi suami lihat si kembar cowok mimpi;positive
merinding banget dengernya;positive
cerita ngeri hantu obsesi manusia;positive
tiara ganteng sabar wkwkwkwkwk sorry tiara;positive
gw lain wak w suka banget kisah si tiara rewatch kali ngeri baper;positive
aaa cwok my type;positive
banget lihat kak tolong penasaran banget lanjut si tiara ruaiah;positive
mas nonton iniiii kanatttt cerita fantasi gin dooonggg bagai manusia cinta wattpad suka bgtttt;positive
lanjut cerita si;positive
cerita diri gidik;positive
wih cerita ny bagus banget kak;positive
rem romantis;positive
suami tau kalo anak kembar anak;positive
keren;positive
klw jelma gendruwo anak lahir untung kali tiara wak;positive
penasaran reaksi suami kak tiara pas lihat wajah anak kembar suami tau wajah lakiknya mimpi;positive
romantis cerita dg pangeran alam gaib;positive
ihhh desember ulang akuuubtw cerita baguss bangettt sampe cerita boongankak nadia pinter bangett pilih cerita nyaakayak drama bangett cerita nyaa plisss;positive
sumpahh gua cinta dunia fantasi wow amazing keren banget baguss banget sumpah takut jugaa btw semangat kakk;positive
banyakin cerita gin kak nad nonton kali kali bosen;positive
nontonnya bayangin visual omg seru mimpi;positive
allah moga mbak tiara mudah urus moga orang dunia henti cinta mbak tiara takut banget;positive
bagus cerita kasi suami gatau selingkuh sieh anak hasil hubung mati si tiara hamil anak orang si pangeran ngrebut anak si suami dunia bagi ngurus anak si jin pangeran;positive
sereemm;positive
suka banget cerita inidbikin film rame;positive
keren cerita;positive
bener gasih cerita fantasi bgtttttp bagusss;positive
kaa spill foto anak ganteng turun darah biru;positive
nonton agustus seru si cerita asli imajinasi kalo kak tiara karna cinta pria tampan moga sehat kak tiara wak nadia moga lindung allah;positive
bikinin filem gaa;positive
kalo cerita gin jm stay kak nad seru rem yaudahlah selagi hantu ku taro hp muka kalo hantu cerita ku taro hp belah tetep suara ku kerasin biar dengar cerita;positive
lagilagi nonton suka banget cerita kak tiara kak nad ada cerita setan ganteng gin request kak;positive
kalo jadiin drama korea seruu bikin baper si;positive
wow cerita seru banget bikin penasaran lanjut kak nadia;positive
merinding banget khe beda;positive
kak tolong cerita suka ku cerita kak nadia;positive
cerita keren denger;positive
kisah seru serius sehat bahagia kak tiara anak kembar;positive
bagus banget kak suka;positive
bikin drama drama korea;positive
gua bayangin si laki karakter webtoon;positive
