Cleaned_Text,label_prediksi
anak the real anak setan,positive
mimpi temu laki ganteng bahkan siang pas tidur laki mimpi serasa nyatadia pegang tngankutp kalo hb prnhdia cium hidungny berhendus ajaya mimpi menikmatiserasa sayang gtukepalaku pegangtngan dus gtupkokny laki mimpi ganteng bgtaku tau jin pstijd rukyah baca ayat kursi qulwkt smp guru agama bilangklo mimpi laki ganteng fix jin suka,neutral
ada nonton seru oct angkat tangan guys,neutral
anak kembar nyata,positive
jin jatuh cinta berani nyentuh manusia,negative
kak cerita seruuuu,positive
kakak seru banget ceritaya,positive
dengar cerita dongeng dongeng romantis balut fantasi tiara halusinasi,negative
tindih pas tidur laki nunggu ruang posisi pintu apksaan suruh masuk nafsuuu masuk sadar mimpi jin istighfar mimpi astaghfirullah alazim alhamdulillah langsung bangun,negative
film erika pengantin setan persis bawa alam hamilin jin,neutral
kasihan suami tiara,negative
istighfar istighfar istighfar ganggu jin ganggu halusinasi delusi,negative
biasaaa tiarakmu wanita bruntung,neutral
ken mimpi tiara,neutral
mimpi cerita dongeng baper pngn ngerasain,negative
ngeriiii banget,positive
kak cerita hmpir ngalamin beneran nyata bhkan belai sosok nyata bhkan kiss lidah sosok kasar minggu bru brani nyeritain keluarga ku obatin allhamdulilah smpe detik gprnh ngalamin jadi kya,negative
gilaaa siii cerita bener masuk dunia fantasy cerita bener masuk hati bangett,negative
kasihan suami,negative
seru bgtgk sadar dengerin cerita xsampe apal jalan cerita film sumalapasti keren siiii,positive
tolong kak lanjutmungkin bocah kembar sdpasti cerita baru nyadihubungi coba kak ngirim cerita,positive
selingkuh hayooo,negative
anaknnya anak jin gtukasian suami kalo cerita selingkuh bisa inget mimpi umur sampe skrangmungkin jin udag suka kakak tiara kecill,negative
nonton ulang absen,positive
nonton september ngerasa kasi suami,negative
salfok banget nadia klihatan cntik banget plis kurus tirus cantik banget look btw cerita bner nadia tiara pikir ruqyah over all sbnernya cerita gin sekitar beda si subjek sikap beda beda langsung giur ngikut ngilang deh pindah alam sadar meruqyahkan alhamdulillah selamat si tiara bingung bilang ganggu bukti cari solusi lepas kondisi bilang nikmat olah masak gugur x notice klau ancam usaha situasi bingung pola pikir kau tiara,negative
tiara diam susah konek pengaruh pendam apalgi suami,negative
kasi lki nyaa,neutral
epik banget kisah,positive
nonton hadir sbanyak crta nafia omara pling epick bnyakin crta gni kak,neutral
sumpahhhhh cerita kali tuhhhhhh kerennn dannnnn bikin saltingg sumpah ak smpe mikir ken tiara takut si kalo posisi tiara pasto takut lahh gamau gamau hdup normal,negative
penasaran muka anaknyagantengkah,positive
emng cuman ak nonton,neutral
saran mb tiara rukiah liat wujut asli pangeranya taubat karna zinah makhluk gaib karna denger kisah kisah nyata cerita ustadz rukiah wujud laki ganteng kekar rukiah buruk wujud ukhti taubat,negative
anak kandung si suami pindah dunia si cwo anak si cwo pindah dunia asli the real tukeran anak,neutral
bingung sedihh neng,negative
hadir nonton,neutral
nonton agustus,neutral
kak nadiakalau muka baby persis muka lelaki ganteng itupasti suami kenal iya kankerna suami jgk tgk lelaki itujadi reaksi suami lihat babynya itupasti penasaran g muka babynya lelaki mimpiapa suami blh terima ituaduhhpenasaran,positive
ganteng beneran anak ganteng jgk,negative
sumpah cerita seru bnget,positive
nonton ulang agustus,positive
suami sadar anak lakilaki ghaib ketemu,neutral
nonton pikir langsung nonton ulang,positive
naudzubillah,negative
july hadir wak baper,negative
ceritaaa palinggg gonggg banget menurutkuuuu,positive
rewatch karna cerita beda,positive
nonton full ta tapi anak wp jenis wahhh daebakk ber word jiwa wp ku ronta nadia bangga kali nyata percaya nyata si goib uhh pada,neutral
kabar anak gimana,neutral
kakak nadia tolong tanyain kondisi tiasa skarang penasaran,positive
gamon banget kisah,positive
kisah seru serius sehat bahagia kak tiara anak kembar,positive
kakak kisah pling tarik,positive
serius si pria tampan kasih nama,neutral
suka banget cerita kali kalo bikin film bagus banget,positive
mas move on,positive
kaa ceritaa bikin akuu snyum saking saltingnya denger ceritaa mimpi jadi ken astagfirullah,neutral
seruuu banget,positive
nonton sekian kali epsd,neutral
klau wujud jelek anak kembar jelekkenyataan anak kembar ganteng emng asli ganteng jelek kya gunderwo,positive
kak nad lanjut cerita penasaran banget,positive
jodoh tiara mantab wajah anak persis papa brarti gendruwo alangkah untung ngga apaapa poliandri sayang lanjoetkann,positive
kisah kali favorit ku harap cerita lanjut tiara anak,positive
ngga sadar si tiara masuk perangkap si laki beda dimensi ngga si,neutral
merinding,positive
penasaran anak uda kalo anak bangsa jin tahan tinggal tau,negative
mimpi ketemu deket cowo wajah nama langsung lupa ingatnkejadian alami pas ketemu muka inget orngnya ganteng excited kenal mimpi cowo cowo nyata emng kenal mimpi kekgini kali cowonya kaya beda kalo bener bunga tidur cowo satu beda orng,neutral
nonton kali semenjak video up skrng gin bosen bosen makasih kak nad tani ku,neutral
merinding bad badan wakngeriii kaliii,positive
seruu benerr anjrrr ceritanyaaa kali bioskop,neutral
gila cerita seru banget sampe replay bosen saking seru,positive
apa omaygatt nyangka banget ngikutin kakk naddd eps an sampe skrng ngulang cerita kali,positive
seru bnget,positive
kakak bikin film kak seru gila pakek bangett,positive
untung setan cakep,negative
seruuu banget tolong kalo bikin film bagus banget,positive
blum move on loh kisah berita kini tiara kasih goibnya,negative
cerita cuman sangaaaatttt ku suka masuk cerita wak,positive
suka pmbawaan narator ekspresif bikin penasaran bgmna endingnya cerita puas dengar,positive
jujur kali kali ulang dengar cerita cerita kesan sukar lupakansehinggakan tanya sudah cerita,positive
suka banget lihat vdeo kakak,positive
hayoo nontonnya taun sini yoo merapatt,negative
sstuju banget tiara rukiyah karna beda alam cinta jin turut,negative
sumpah webtoon wkwk,positive
pling favorit,neutral
kali kakak bicara ak me imajinasi kanya langsung,neutral
ruqyah gua langsung mikir si tiara kesengsem pangeran milih si pangeran banding suami sah pas tau hamil salah,negative
kak nadiacerita kali seru luar nalarjadi kepingin tau lanjutannyagimana hubung tiara suami pasca lahir anak kembar anak raja,positive
tiara lupa kalo suami mimpi,neutral
tolong siapaun versi webtoon,positive
mimpi cwo kenal lanjut x berturutt,positive
merinding banget crtanyaaa tapi seruu anjayyy,positive
move on kak nad niat nanya kabar tiara gmna,neutral
tolong banget nonton sampe merinding banget olah gambar pikir,positive
inti ngikutin bikin macu adrenalin cerita benar asa nyampai banget gimana horor kisah hidup manusia bahan muka bumi,neutral
ihh penasaran wajh anak kembar allah moga jin jahat,positive
kak nad udaa nonton smua sampe ku ulang tonton,positive
seru banget kalo kak nadia bawain cerita hehe,positive
gantung si kakak nadd soalny kynya tau drmana sosok tau si tiara msh mksdny usul ny si sosok lbh jls lhoo,neutral
mah diri kelas sd kali ajak kota dunia mewah jumpa sakit,neutral
cerita alamin,positive
seruuu anjirr nonton,neutral
berselikuh weee astagfirullah buk nyata,positive
anak tiara genderuwo,neutral
takut bngetttt,negative
cinta sosok itudi dunia nyata adaaa,positive
mangu beda agama beda alam emang kisah emang seru bangat si film,positive
jugak mimpi gin hubung badan alhamdulillah rukiah sampe mimpi,negative
jga dlu srg mimpi pria ganteng ku knal srg bawak laut indah banget dn bilang pergi sllu usir bilang knal mu pergi dn jgn ganggu dn mudah an mimpi,neutral
alami kak nad sampe beda mimpi kejar ular ular patuk orang orang lihat mimpi besok tinggal sampe diem ganggu tidur ganggu upacara habis,neutral
hai kak mimpi gin mimpi hubung badan smpe rasa nikmat mimpisetelah situ mimpi mimpi meni kamar lelaki gemuk badan ambil cincin kasih situ cerita orang tua ku takuttt,neutral
sampe bayangin istana,positive
ihh mimpi gin pacar doang mimpi berkalikali jarak,neutral
nonton seru kalo film seru banget,positive
romantis kali suka kali kak nadia,positive
tiaraa astagfirullah ko mw sampe ajak moga jauh tipu muslihat jin setan sungguh dahsyat bawah lindung allah maha esaaamiin,negative
seru banget klau nadia cerita,positive
sakit cinta beda alam ketimbang beda agama,neutral
berat cinta beda alam ketimbang beda agama,neutral
bagus kalo film,positive
bikin cerita fantasi kak nad seru kayak kalo kak nadia cerita fantasi karang kak nadia team teman,positive
ad pikir kasi suami ny tiara,negative
sumpah cerita seru bgtt campur aduk pas dengerin kesel haru baper,positive
suka kkak,positive
cerita inget kalo mimpi ulang orang beda latar tempattapi muka orang asa ku orang samanamun mimpi kejarkejar orang usaha hindar orang lari sekencangkencangnyatapi untung ulang ulang kali alhamdulillah mah mimpi haha mah bunga tidur,positive
kisah ku kakak umur smpe skrngtapi stlah obat orang pintar sekrng puji tuhan ketemu laki wlau sisi berat banget ngelepasinnya,neutral
gila banget gua gila emang gua gila banget karna ken tiara,negative
jadiin webtoon bagus,positive
orang suka mahluk halus susah menikahmendapatkan jodohtapi nikah gangguin,neutral
so sweet banget kisah cinta ama pangeran bayang,positive
neng banget lihat video kakak,positive
kerennn mah bikin si dengar bawa cerita ikut fantasi takut neng andai nyata bahagia kali cinta pangeran,positive
merinding dgr cerita smpe kali,positive
jujur mngkin milih hidup alam kali dunia,neutral
film pengantin setan si peranin erika carlina,positive
asa suami gimana,negative
penasaran muka si tiara gimanasama ken lihat foto tanda jari,positive
sereh baget suka cerita,positive
dapat si pria tampan emang tampan syaiton dpat rupa wujud jin manusia dunia beda islam allah swt cipta jin malaikat manusia ib syaiton mimpi tiara jin jin manusia jin milik keluarga orang tua kampung asa beda dunia syaiton milik beda jin bangsa jin,negative
nyesek banget suami anak ambil istri leceh turun suami tugas nafkah anak laki dunia,negative
kak bnr sh cuman gw kn cwo cwo sumpah mimpi lanjut lho momen mana ragu bilang nama tolong kasih tanda percaya diri hadir samping tolong percaya diri percaya diri jalan hidup penuh coba milik problem mana sidang cuman mimpi sidang lenyap kn heran sang selenggara sidang nuntut bahas waw instan bikin ingat diri mimpi lanjut suasana nyata banget rasa tubuh arti peluk batas rndu aj fuct kala sepi karna memilh diri alas lho s dah bang nasib susun temu cluenya,neutral
rem iihh,positive
kak tolong gimana kasih tanda milik jin suka ku minggu ilang pudar tanda jari inisial huruf tibatiba tangan angkat sendri pas sadar tanda pas kakaku nampak sdikit komunikasi mreka tanda milik ngbuat manusia jin gabisa deketin suka cerita ckup kompleks susah ceritain sisi takut sisi gabisa dlu mreka karna proses obat masalah mreka takut ngbuat sakit kambuh parah jebak banget,neutral
pgn lihat anak kembarny ihh,neutral
jin dasim,negative
ngalamin mimpi kali kak nad mimpi datengin laki raja zaman belanda kak kulit putih bersih ganteng rambut ikal pakai baju batik warna hijau ungu mimpi duduk ku ngasih gelang perak permata warna ungu ambil gelang pakai mimpi duduk depan ngasih cincin permata warna ungu mimpi nembung nenek tinggal nenek bilang bawa untung nenek kalo nenek mah serah diaaku kalo silah kalo g paksa langsung nengok geleng tanda g g mimpiin kalo terawang orang pintar sampe suka nengokin jauh,neutral
suka banget film,positive
bedoa tiara tidur jan ngayal banyak nonton drama lu,neutral
sumpahh keren bngttt,positive
denger cerita kak nad mimpi pas kelas persis syukur mimpi lagitapi sampe pacar kak nad takut,positive
tiara uda jerat jin mimpi,negative
kasih kehidapan alias reinkarnasi,negative
dgr geram pulak tiara nie suke orang selingkuh,negative
ihhhh nonton ttep salting adain cerita,positive
gimana wajah anak kembar teh tiara,positive
iss penasaran muka anak kembar,positive
gila rem kali wak,positive
mantep cerita macem cerita gin epik banget,positive
orang tua dlu mh nama demen jin,negative
kasi laki woi,negative
crrita film pengantin setan,positive
nonton saking seru,positive
balikk kisahhh iniiii asa denger cerita fantasiiiii dunia nyataaa kakak naddd tanyaaa in kakak tiaraaa gimanaaaa ceritanyaaaa,positive
pernh pulang rs jam kmudian nang gatau nang henti stlh kost manggil ustdz tempel makhluk rs,neutral
allah bapeeer,negative
kesini karna kangen,neutral
anak ganteng donk,positive
kasihan mbk tiara kayak cinta jin enak cinta jin,negative
inget drama china judul the princess and the werewolf cwe manusia cwo siluman cwe tinggal dunia nyata cwo tinggal dunia ghoib si cwe culik dunia ghoib cwo smpe meni mrka hidup alam dunia nyata ghoib,neutral
wujud asli genderuwo jin pinter ubah wujud hiiih ruqyah kak tiara anak kembar gimanaaaa,negative
bener cerita hayalan bingung bin heran mba nadia cerita legenda,positive
cerita kali seru banget,positive
pribadi jin orang sebelahkalo jin sosok seram maksa kalo orang belah beda goib,negative
kalo suami tau cemburu lagi,negative
percaya mimpi dtang dar bunga tidur mimpi laki laki suka sling percaya dunia akan jawab mimpi ulng ulng layak terhubuh mohon alalfatihah sja pulang tanggal februari abadi tau cerita dtang dlam mimpi akan biar tau syg egois lupa karna asa beliau cuman harap beliau langsung bicara kubur malam beliau bawa kenang habis,neutral
indah fkirknganteng asli beza alamsiapa alami cerita samatolonglah pergi berubatjgn ambil remeh benda,neutral
bingung selendang ikat tangan tiara lepas pas renang gimana sihh bingung lepas,neutral
kakkkk,neutral
suami curiga anknya mak bpknya,negative
mikir suami curiga anknya mak bpknya,negative
tiara dighosting kang ghost,neutral
turut cerita epik dl bc novel spt sungguh sampe gamon novel bnr fantasi lintas dimensi g kaleng cerita crtnya jempol pokok,neutral
gimana kaloo ganteng tiarnya move on,negative
ken tau kelaanjutan tiara kak nadd,negative
perna mimpi orang wajah liat tau orang suasana mimpi berdeda suasana pdktan nikah sampe tinggal rumah alhamdulillah perna hubung cerita mama suruh banyak ibadah lain sisi rukyah ulang kali alergi kulit parah dikerjain orang deteksi alergi kena picu alergi kabuh rukyah ku perna mimpi aneh ulang mimpi asing kesana,positive
penasaran banget muka mimpi tiara ken tiara pikir pikir takut,negative
bayang kalo suami tiara nonton,negative
kali cerita kak nadia bener bener merinding simak cerita istighfar merinding bad badan ngebayangin suasana cerita itumasyaallah kali pikir si tiara kisah mimpi hidup,positive
hadirr kalo pribadi percaya kasih gainkrn temen mengalamijadi mimpiin laki laindiajak pergijalandan berhubungandan kalao mimpi incar jin dijaiin istri gaib kansampe temenku bantu orang pintar putus hubung si jin biar ganggu,negative
kesel denger respon suami btw anak lain ato,neutral
kisah dengar podcast klau silap dkat santaichill segment caller lupa nma caller,neutral
nad kalo gin hukum gimana,negative
lanjut anak suami ghaibnya kak besar anak hasil nikah ghaib kak tolong sambung cerita kak penasaran,positive
energi rasa bangetttt,neutral
air mata nonton sakit bgtt woi,neutral
suka nonton makan rebah,neutral
kasi ma tiara kasi suaminyajadi anak jinparah bgtt sihtiara lu pls banget rukiyah dosa loh suami karna bohong,negative
nonton huhuhu keren banget novel roman fantasi ihhh,positive
ngebayangin temu pangerantp cerita epicdan nadia cerita bayang tiaramenyenangkan rem takut pangeran asli jelma jin om wowo,negative
ny ak nang sedih kali cerita cinta orang dunia,positive
cba sosok jin hmmm romantis bngtt,negative
in love sgt kak cerita jmpa channel,neutral
mantapp cerita seru kakak,positive
nonton bln mei cung,neutral
mimpi cowok ganteng banget itu ulang tau ketemu dunia nyata cerita mimpi orang bilang nikah orang mimpi orang muka,positive
ken liatt ihh anak kembarnyaa penasaran bgtt cakep cakepp,positive
penasaran pgn lihat anak,positive
mana gw nonton nadia omara hai,neutral
teruss tiara skrng keadaannnya gimana suami,neutral
cinta halang dunia,neutral
heran baper kecewa tolong kasi suami tiara lu nikah genderuwo sosok asli ganteng tmn ku nasib sampe diruqyah,negative
dengerin bbrp kali bosen haha cerita emang seru sangattt kerja dengerin nadia cerita canduu,positive
ngalamin,negative
salah bagus banget kesan,positive
woi tiara terima coy ganteng,negative
btw wak suami tau wajah pria mimpi anak lahir suami curiga lihat wajah anak pria mimpi,neutral
banyakin cerita gin tolong,positive
kali nonton bosensoalnya cerita mimpi tahun mimpi ting suasana mimpi rasain smpe skrng,neutral
kali nonton saking seru ngebayanginya kali nonton angkat filem kak seru nadiaomaraa,positive
allahka tiara hubung jin,negative
wkwkwk gmna masuk dunia fantasi si cowo gateng adab maksa buat senonoh sbelum hak tolong gmna baper cinta tulus,positive
gokillll mah romance,positive
lihat episode nadya kabar anak kembar mrk update percaya cerita lihat paman alm alam meni dg jin cantik al quran iblis cipta allah swt jin buruk setan peristiwa nabi sulaiman alaihissalam perintah jin utk bangun istana megah utk ratu bilqis jk spt tiara lbh doa tawaqal pasrah kpd allah swt tiara pasti sdh jatuh hati kpd pangeran ghaib hati sepenuh lepas mknya nyambung terusrukyah ngga bs lepas jk hati msh nyangkut,negative
hallo kak cerita lsg kak tiara dar sharing utk brcerita karna alam kak tiara tolong slam kak tiara,positive
asli siiiih seru kali cerita,positive
anak hercules half human half gods half human half jinn,positive
ngulang nonton x wkwk cerita rem seru bikin mikir loh,positive
kota saranjana kota gaib,neutral
sekian cerita kakak nad asli epik banget smpe ku putar x persis gadis mimpi basah dg lakilaki,positive
kali mimpiin laki cerita fisik beda senyum suara wangi baju pakai baju warna putih terang dateng mimpi pas sakit capek dunia bangun lupa wajah wangi suara bengong bingung hilang bangun mimpiin agustus juli hitung x mimpiin pas kenal ketemu lupa kali mimpiin juli mimpi banget denger ngomong denger bilang ciee nikah nikah denger ngomong nang pas bangun nang hilang sempet mamang mimpi ku,neutral
bosen rewatch kwh minggu nyaa,neutral
