Author,Comment,Comment_casefolded
@NadiaOmaraa,"Hai wak! Untuk 2 minggu kedepan aku bakal upload #KisahHorrorWawak dulu yaa… email KHW udah masuk sampai 15ribuuu🥹🥹 kasian numpuk terus.. bonus deh minggu ini jadi 4 video oke. #nanadberbaikhati ❤️ 
Selamat menonton!","hai wak! untuk 2 minggu kedepan aku bakal upload #kisahhorrorwawak dulu yaa… email khw udah masuk sampai 15ribuuu🥹🥹 kasian numpuk terus.. bonus deh minggu ini jadi 4 video oke. #nanadberbaikhati ❤️ 
selamat menonton!"
@zakiasz5556,ya kalo udah ngajak tidur ya pasti asli wujudnya genderewewooww ciri khasnya ya begitu. dan tabiatnya begitu.. lahaula .. yaa Allah lindungi lah kami,ya kalo udah ngajak tidur ya pasti asli wujudnya genderewewooww ciri khasnya ya begitu. dan tabiatnya begitu.. lahaula .. yaa allah lindungi lah kami
@aliarohali8163,TIDAK ADA PART 2 NYA KAH ?? SERUUU😭,tidak ada part 2 nya kah ?? seruuu😭
@ElsaNuraeni-k9z,Adakah Yg nnton kembali Khw Teeerrrrrr Epic  Part ini d oct 2025?? Angkat tangan Guys ❤,adakah yg nnton kembali khw teeerrrrrr epic  part ini d oct 2025?? angkat tangan guys ❤
@sarahagudjir7305,Anak kembar itu nyata aa tidak yaaa🤔🤔,anak kembar itu nyata aa tidak yaaa🤔🤔
@SarminahMinah-s7l,Merinding terus pas di sken tiara di bwa itu aku denger nya merinding bulu kudu ku naik terus...,merinding terus pas di sken tiara di bwa itu aku denger nya merinding bulu kudu ku naik terus...
@lilylyrics_40,siapa yang nonton ulang☝🏻,siapa yang nonton ulang☝🏻
@JuniSetiawati-v2b,Jin satu ini jatuh cinta ajah ga brni nyentuh lahhh manusia?,jin satu ini jatuh cinta ajah ga brni nyentuh lahhh manusia?
@RinaSulistianingsih-m6v,😂 sampe udh brp x nnton cerita ini gmn ya nasib tiara skrang penasaran bngt,😂 sampe udh brp x nnton cerita ini gmn ya nasib tiara skrang penasaran bngt
@rismaaulia8780,Nonton ini di 2025 👋🏻,nonton ini di 2025 👋🏻
@OppoA3x-e8j3r,Seru bgt crita hampir sama kyak mmpi ku tapi GK sbanyak it,seru bgt crita hampir sama kyak mmpi ku tapi gk sbanyak it
@nrwinda.s,Aku nonton sambil nyuci ka nadd😂,aku nonton sambil nyuci ka nadd😂
@yoeoel6098,"Penasaran wajah anak kembarnya , lumayan yaa mbak kalo pangerannya ganteng anaknya juga ganteng 😅","penasaran wajah anak kembarnya , lumayan yaa mbak kalo pangerannya ganteng anaknya juga ganteng 😅"
@mariadowenginang3732,"Sumpah pass aku dengar di tiktok, pikiranku kemana mana cok, kek gak abis pikir, ada sedih, marah, dan kecewa. Gini ya guys, emang kasihan juga pangerannya, tadi lebih kasihan suami di nyata, aku juga kecewa karena tiara gak bisa setia😕😞😞","sumpah pass aku dengar di tiktok, pikiranku kemana mana cok, kek gak abis pikir, ada sedih, marah, dan kecewa. gini ya guys, emang kasihan juga pangerannya, tadi lebih kasihan suami di nyata, aku juga kecewa karena tiara gak bisa setia😕😞😞"
@novimuly,"Kayanya tiara dibutakan deh, rukiah gih tiara. Itu nggk bener kayanya","kayanya tiara dibutakan deh, rukiah gih tiara. itu nggk bener kayanya"
@aleennamara,dasar,dasar
@AjenggCan-q4h,Mungkin banyak yang di ketahui dari nenek moyang sih cewek itu . Kisa legenda dari jaman dulu,mungkin banyak yang di ketahui dari nenek moyang sih cewek itu . kisa legenda dari jaman dulu
@putriaprilianivera1983,takut bgt ada anak yg butuh donor darah ternyata gasama sama ayahnya,takut bgt ada anak yg butuh donor darah ternyata gasama sama ayahnya
@fishanay,Pandai kali bercerita kk nya,pandai kali bercerita kk nya
@suminipatimuan5680,"aku kek djvu crita kek gini yaa mimpi yg terasa nyata,","aku kek djvu crita kek gini yaa mimpi yg terasa nyata,"
@MahdiyahZahra,aku mikirnya cowo ganteng itu anime🗿,aku mikirnya cowo ganteng itu anime🗿
@Syaaa_Tisyaa,"Cerita satu ini paling menarik sih, kaya seru banget omaygattt lopee❤","cerita satu ini paling menarik sih, kaya seru banget omaygattt lopee❤"
@rizqiAmaliya-q5p,sebagai pecinta fiksi aku suka banget khw yg skrg pliss jiwa menghalu ku meronta-ronta 😂😭,sebagai pecinta fiksi aku suka banget khw yg skrg pliss jiwa menghalu ku meronta-ronta 😂😭
@MazZzz-l4t,"Maman kembali
Saranku teh tiara dan suami juga anaknya mampirlah ke kediaman om. Hao
Begetu mba nad
😅😅😅😅😅😅😅😅","maman kembali
saranku teh tiara dan suami juga anaknya mampirlah ke kediaman om. hao
begetu mba nad
😅😅😅😅😅😅😅😅"
@ItoKristoforus,Terpesona sama laki yang di mimpi berulang ulang kali,terpesona sama laki yang di mimpi berulang ulang kali
@deaPuspitasari-o6h,Merinding kalii wakk😭,merinding kalii wakk😭
@casriati4005,"Seperti tetangga ku, kata orang orang sih tetangga ku punya istri di dunia lain, makannya mpe sekarang dia jd bujang lapuk","seperti tetangga ku, kata orang orang sih tetangga ku punya istri di dunia lain, makannya mpe sekarang dia jd bujang lapuk"
@fwleurlovin,"gamungkin kalo jin dapat bersetubuh dg manusia apalagi sampe hamil. gangerti juga gimana bisa sampe hamil dan anaknya mirip. tapi apa mungkin setiap tiara berhub. bdn sama suaminya, suaminya dirasuki cowo itu? kalo begitu berarti secara ga sadar, ga disamperin di mimpi, tiara udah menerima si cowo. jadi bs langsung hamil 3 bulan. biar si tiara dan keluarganya tau dia lg hamil, si cowo baru nyamperin, makanya disitu tiara tiba² terima. kayanya 3 bulan sebelum tiara mimpi itu perlu diinget-inget ada apa aja","gamungkin kalo jin dapat bersetubuh dg manusia apalagi sampe hamil. gangerti juga gimana bisa sampe hamil dan anaknya mirip. tapi apa mungkin setiap tiara berhub. bdn sama suaminya, suaminya dirasuki cowo itu? kalo begitu berarti secara ga sadar, ga disamperin di mimpi, tiara udah menerima si cowo. jadi bs langsung hamil 3 bulan. biar si tiara dan keluarganya tau dia lg hamil, si cowo baru nyamperin, makanya disitu tiara tiba² terima. kayanya 3 bulan sebelum tiara mimpi itu perlu diinget-inget ada apa aja"
@bundakuliner68,plot twist kali waaak,plot twist kali waaak
@Nikmah11,Kadung menikmati jadi permaisuri ghoib jadi lupa utk rukyah diri sendiri. Ceritanya sih epic tapi jatuhnya malah kasian sama lakiknya. Mau dibilang ga selingkuh tpi kenyataanya begitu. Meskipun cuma di mimpi tpi mimpi itu udah beneran di dunia mereka loh. Beneran di case ini yang kasian tu lakiknya,kadung menikmati jadi permaisuri ghoib jadi lupa utk rukyah diri sendiri. ceritanya sih epic tapi jatuhnya malah kasian sama lakiknya. mau dibilang ga selingkuh tpi kenyataanya begitu. meskipun cuma di mimpi tpi mimpi itu udah beneran di dunia mereka loh. beneran di case ini yang kasian tu lakiknya
@Nikmah11,Harus join sama makhluk itu. Iya kalo beneran ganteng kalo aslinya gak ganteng kek mana?,harus join sama makhluk itu. iya kalo beneran ganteng kalo aslinya gak ganteng kek mana?
@Nikmah11,Kasian lakiknya di real life ga si😭😭,kasian lakiknya di real life ga si😭😭
@Nikmah11,Jadi kaya cerita fiksi😭😭😭,jadi kaya cerita fiksi😭😭😭
@king_shultan2640,Bagus  sekali cerita nya kk ❤ kayak film2,bagus  sekali cerita nya kk ❤ kayak film2
@DiaryWaletDewi,Gw dengar di awal bulan oktober 2025 guys,gw dengar di awal bulan oktober 2025 guys
@DheaUsiana,Terus kabar nya suaminya kak tiara gimana ya ? Setelah tau kalau anaknya itu mirip sama pangeran itu ? Pliisss bertanya tanya aku,terus kabar nya suaminya kak tiara gimana ya ? setelah tau kalau anaknya itu mirip sama pangeran itu ? pliisss bertanya tanya aku
@Yulianti-f7t6e,Kak terus suaminya tau gak kalau itu bukan anak dia??,kak terus suaminya tau gak kalau itu bukan anak dia??
@meilanianindita,"sebagai pembaca manhwa kerajaan, denger ini kaya wow, aku ngebayangin duara cowonya pas manggil ""permaisuri ku"" aaa","sebagai pembaca manhwa kerajaan, denger ini kaya wow, aku ngebayangin duara cowonya pas manggil ""permaisuri ku"" aaa"
@DevanAlfin-g6v,"Trimah kasih kak ceritanya serem ba get beda dari part yng lainnya walau anya dalam mimpi tapi terbawa sampe ke kehidupan nyata. Aku senen dengan cerita kak tiara aku jadi paham bahwa aku sering bertemu sama wanita cantik di dlm mimpi yanh tak aku kenal tpi dia baik banget dan romantiss🥰

Makasih kak nadia sdh mau membawakan cerita yng epic mantap semoga kak nadia diberi kesehatan dan kekuatan semga sehat sllu diberkati sllu kk dlm keluarganya
dan semga kita smua dilindungi oleh Allah Amin🙏😇","trimah kasih kak ceritanya serem ba get beda dari part yng lainnya walau anya dalam mimpi tapi terbawa sampe ke kehidupan nyata. aku senen dengan cerita kak tiara aku jadi paham bahwa aku sering bertemu sama wanita cantik di dlm mimpi yanh tak aku kenal tpi dia baik banget dan romantiss🥰

makasih kak nadia sdh mau membawakan cerita yng epic mantap semoga kak nadia diberi kesehatan dan kekuatan semga sehat sllu diberkati sllu kk dlm keluarganya
dan semga kita smua dilindungi oleh allah amin🙏😇"
@adra_channel123,kak cerita ini lagi dong seruuuu,kak cerita ini lagi dong seruuuu
@NasrahNasrah-nx2yn,Permasalahan nya adalah tiara sudah membuka hatinya untuk lelaki itu. Makanya dia gak mau ruqyah.,permasalahan nya adalah tiara sudah membuka hatinya untuk lelaki itu. makanya dia gak mau ruqyah.
@Vivo1904Vivo-x5f,Kakak seru banget ceritaya,kakak seru banget ceritaya
@AnisyaHarumsafitri,Baru nonton 2025😅,baru nonton 2025😅
@awangraha,Kok aku mendengar cerita ini kaya dongeng ya. Dongeng romantis berbalut fantasi. Apakah Tiara baik2 saja? Tidak sedang berhalusinasi?,kok aku mendengar cerita ini kaya dongeng ya. dongeng romantis berbalut fantasi. apakah tiara baik2 saja? tidak sedang berhalusinasi?
@rizkahayati293,"Ceritanya hampir mirip di mimpiku juga😢
Sampek berhari hari gak berani tidur takut mimpi itu lagi","ceritanya hampir mirip di mimpiku juga😢
sampek berhari hari gak berani tidur takut mimpi itu lagi"
@kulineran8560,baru nonton 2025,baru nonton 2025
@EkaNurhikmah-x6d5k,Pernah  ketindihan pas tidur trs ada laki² besar nunggu dlm ruangan nah posisi aku dipintu trs kaya ada apksaan suruh masuk trs nafsuuu aku mau masuk tapi aku sadar itu mimpi dan jin akhirnya aku istighfar dalam mimpi astaghfirullah alazim alhamdulillah aku langsung bangun.,pernah  ketindihan pas tidur trs ada laki² besar nunggu dlm ruangan nah posisi aku dipintu trs kaya ada apksaan suruh masuk trs nafsuuu aku mau masuk tapi aku sadar itu mimpi dan jin akhirnya aku istighfar dalam mimpi astaghfirullah alazim alhamdulillah aku langsung bangun.
@ELYA-d6w,Ini sih bukan cerita horor tapi dongeng 😭,ini sih bukan cerita horor tapi dongeng 😭
@NurAisah-m6n,"Serrrrreeeeemmmmm,,,,","serrrrreeeeemmmmm,,,,"
@anakboengsoe10,"Kurang lengkap kak endingnya. Kan dijelaskan anak kembar muka mirip pria dlm mimpi tapi kak tidak jelaskan bgmana tanggapan suaminya, apalagi suaminya juga tau pria itu krn sering mimpi juga dgn pria yg ada dlm mimpi Tiara","kurang lengkap kak endingnya. kan dijelaskan anak kembar muka mirip pria dlm mimpi tapi kak tidak jelaskan bgmana tanggapan suaminya, apalagi suaminya juga tau pria itu krn sering mimpi juga dgn pria yg ada dlm mimpi tiara"
@cookingwithnia,"istighfar kalian yang baper, itu jin woi mau mukanya seganteng apapun yang namanya jin itu bisa berubah ubah bentuknya, buat kalian amit2 kalau ada yg ngalamin kaya gini mending ruqyah langsung jangan pake segala baper2 salting2 an","istighfar kalian yang baper, itu jin woi mau mukanya seganteng apapun yang namanya jin itu bisa berubah ubah bentuknya, buat kalian amit2 kalau ada yg ngalamin kaya gini mending ruqyah langsung jangan pake segala baper2 salting2 an"
@FebriRenaldi,Jadi teringat film Erika yg pengantin setan sm persis di bawa ke alamnya di hamilin Jin,jadi teringat film erika yg pengantin setan sm persis di bawa ke alamnya di hamilin jin
@lenilen4694,"Nauzubillah min dzalik….
Kami berlindung kepada - Mu yaaa Allah dari kejahatan mahluk- Mu. Amin…amin…Allahumma amin…","nauzubillah min dzalik….
kami berlindung kepada - mu yaaa allah dari kejahatan mahluk- mu. amin…amin…allahumma amin…"
@tieenavan4760,Wah epic bgt cerita ini,wah epic bgt cerita ini
@viviryy6857,Jin effort ama manusia,jin effort ama manusia
@KazulAmrullohakram,"Kasihan sama suaminya Tiara,","kasihan sama suaminya tiara,"
@OumAmawa,Part 2,part 2
